warehouse,sku,stock,reorder_level,last_updated
Osaka-Whse,SKU-134,0.23161580790395198,0.22055137844611528,2026-07-31 14:54:21
London-Whse,SKU-229,0.5287643821910956,0.20551378446115287,2026-08-11 14:54:21
London-Whse,SKU-428,0.43271635817908954,0.5087719298245614,2026-07-27 14:54:21
Osaka-Whse,SKU-497,0.2206103051525763,0.7894736842105263,2026-08-10 14:54:21
London-Whse,SKU-454,0.5742871435717859,0.37593984962406013,2026-08-05 14:54:21
London-Whse,SKU-492,0.43421710855427714,0.7543859649122807,2026-07-27 14:54:21
Rotterdam-Whse,SKU-300,0.45722861430715356,0.7619047619047619,2026-07-13 14:54:21
Osaka-Whse,SKU-091,0.8354177088544272,0.87468671679198,2026-08-03 14:54:21
Osaka-Whse,SKU-500,0.11755877938969485,0.9974937343358395,2026-07-31 14:54:21
Sydney-Whse,SKU-477,0.7793896948474237,0.8320802005012531,2026-08-03 14:54:21
Seattle-Whse,SKU-316,0.3886943471735868,0.631578947368421,2026-08-06 14:54:21
Osaka-Whse,SKU-431,0.7113556778389195,0.020050125313283207,2026-07-30 14:54:21
Seattle-Whse,SKU-393,0.8334167083541771,0.5538847117794486,2026-08-03 14:54:21
London-Whse,SKU-153,0.4462231115557779,0.9172932330827067,2026-07-19 14:54:21
London-Whse,SKU-345,0.009504752376188095,0.20050125313283207,2026-07-21 14:54:21
London-Whse,SKU-346,0.009004502251125562,0.41102756892230574,2026-07-27 14:54:21
Rotterdam-Whse,SKU-107,0.4442221110555278,0.8696741854636592,2026-07-21 14:54:21
Rotterdam-Whse,SKU-181,0.7638819409704852,0.8395989974937343,2026-07-19 14:54:21
Sydney-Whse,SKU-287,0.28214107053526766,0.9223057644110275,2026-07-27 14:54:21
Osaka-Whse,SKU-287,0.34967483741870936,0.9874686716791979,2026-08-08 14:54:21
Rotterdam-Whse,SKU-263,0.2801400700350175,0.8796992481203008,2026-08-04 14:54:21
London-Whse,SKU-033,0.5082541270635318,0.7568922305764411,2026-07-23 14:54:21
London-Whse,SKU-207,0.6993496748374187,0.706766917293233,2026-07-13 14:54:21
Sydney-Whse,SKU-489,0.983991995997999,0.39348370927318294,2026-08-10 14:54:21
Rotterdam-Whse,SKU-455,0.5252626313156579,0.9924812030075187,2026-07-20 14:54:21
