sku,name,category,price
SKU-001,Backpack SKU-001,Sports,0.18168211268760764
SKU-002,Face Wash SKU-002,Beauty,0.1541458213729189
SKU-003,Blender SKU-003,Home & Kitchen,0.4587878290822603
SKU-004,Shampoo SKU-004,Beauty,0.14092102025752481
SKU-005,Toaster SKU-005,Home & Kitchen,0.9718486016566882
SKU-006,Dumbbells SKU-006,Sports,0.18006233084556714
SKU-007,Moisturizer SKU-007,Beauty,0.30306323300254245
SKU-008,Shampoo SKU-008,Beauty,0.020565078323628312
SKU-009,Blender SKU-009,Home & Kitchen,0.3991224473058312
SKU-010,Running Shoes SKU-010,Sports,0.36547609284015414
SKU-011,Vacuum Cleaner SKU-011,Home & Kitchen,0.514024440252604
SKU-012,Wireless Earbuds SKU-012,Electronics,0.8613548757483802
SKU-013,Moisturizer SKU-013,Beauty,0.06276142048716477
SKU-014,Yoga Mat SKU-014,Sports,0.9675428524563274
SKU-015,Jeans SKU-015,Clothing,0.30343229721971615
SKU-016,Serum SKU-016,Beauty,0.6848191585335848
SKU-017,Running Shoes SKU-017,Sports,0.4948946116624292
SKU-018,Air Fryer SKU-018,Home & Kitchen,0.2573812843434758
SKU-019,Dumbbells SKU-019,Sports,0.42454687115558104
SKU-020,Jacket SKU-020,Clothing,0.18311736242106125
SKU-021,Jeans SKU-021,Clothing,0.44925367013860407
SKU-022,Jacket SKU-022,Clothing,0.5980890674977447
SKU-023,Yoga Mat SKU-023,Sports,0.9630525711473796
SKU-024,Face Wash SKU-024,Beauty,0.2700114819978676
SKU-025,Serum SKU-025,Beauty,0.9671737882391537
SKU-026,Running Shoes SKU-026,Sports,0.27468629541540224
SKU-027,Face Wash SKU-027,Beauty,0.07229557943082097
SKU-028,Smartphone SKU-028,Electronics,0.1970392848355614
SKU-029,Blender SKU-029,Home & Kitchen,0.7075576150250144
SKU-030,Blender SKU-030,Home & Kitchen,0.7722668744361519
SKU-031,Serum SKU-031,Beauty,0.3575412121709177
SKU-032,Smartwatch SKU-032,Electronics,0.864532928729599
SKU-033,Dumbbells SKU-033,Sports,0.09325022553924384
SKU-034,Sunscreen SKU-034,Beauty,0.5914664151562372
SKU-035,Blender SKU-035,Home & Kitchen,0.47182809808906745
SKU-036,Sunscreen SKU-036,Beauty,0.7617280406790781
SKU-037,Hoodie SKU-037,Clothing,0.5225744279504633
SKU-038,Jeans SKU-038,Clothing,0.43877634708439267
SKU-039,Air Fryer SKU-039,Home & Kitchen,0.31321249897482156
SKU-040,Backpack SKU-040,Sports,0.24784712539981957
SKU-041,Sunscreen SKU-041,Beauty,0.20140654473878455
SKU-042,Sunscreen SKU-042,Beauty,0.6954195029935208
SKU-043,Dumbbells SKU-043,Sports,0.6246616911342574
SKU-044,Bluetooth Speaker SKU-044,Electronics,0.8729393914541129
SKU-045,Running Shoes SKU-045,Sports,0.18483966210120562
SKU-046,Coffee Maker SKU-046,Home & Kitchen,0.120048388419585
SKU-047,Smartphone SKU-047,Electronics,0.2707906175674567
SKU-048,Air Fryer SKU-048,Home & Kitchen,0.8192405478553267
SKU-049,Wireless Earbuds SKU-049,Electronics,0.0043877634708439275
SKU-050,Air Fryer SKU-050,Home & Kitchen,0.48449930287870085
SKU-051,Wireless Earbuds SKU-051,Electronics,0.2680636430738948
SKU-052,Air Fryer SKU-052,Home & Kitchen,0.40312064299188055
SKU-053,Laptop SKU-053,Electronics,0.9643442959074879
SKU-054,Hoodie SKU-054,Clothing,0.29968014434511603
SKU-055,Smartphone SKU-055,Electronics,0.265418682850816
SKU-056,Jeans SKU-056,Clothing,0.41035840236201093
SKU-057,Moisturizer SKU-057,Beauty,0.6347084392684327
