supplier,sku,lead_time,price,min_order
FarmGate Inc. #991,SKU-0001,0.28,0.27205276174773274,0.6970776906628653
Harvest Direct Trading #85,SKU-0001,0.6,0.7840065952184667,1.0
Fresh Fields Trading #594,SKU-0001,0.24,0.5894476504534214,0.203136136849608
FarmGate Inc. #991,SKU-0002,0.28,0.5045342126957956,0.6970776906628653
Harvest Direct Trading #85,SKU-0002,0.6,0.10717230008244004,1.0
Fresh Fields Trading #594,SKU-0002,0.24,0.10717230008244004,0.203136136849608
FunCraft Inc. #567,SKU-0003,0.64,0.08903544929925793,0.0
Wondermakers Trading #492,SKU-0003,0.8,0.8351195383347073,0.8353528153955809
Wondermakers LLC #801,SKU-0003,0.52,0.5902720527617477,0.7042052744119743
FarmGate Inc. #991,SKU-0004,0.28,0.6215993404781535,0.6970776906628653
Harvest Direct Trading #85,SKU-0004,0.6,0.0,1.0
Fresh Fields Trading #594,SKU-0004,0.24,0.8582028029678483,0.203136136849608
FarmGate Inc. #991,SKU-0005,0.28,0.7460840890354493,0.6970776906628653
Harvest Direct Trading #85,SKU-0005,0.6,0.18384171475680114,1.0
Fresh Fields Trading #594,SKU-0005,0.24,0.15581203627370166,0.203136136849608
FarmGate Inc. #991,SKU-0006,0.28,0.1294311624072548,0.6970776906628653
Harvest Direct Trading #85,SKU-0006,0.6,0.23742786479802114,1.0
Fresh Fields Trading #594,SKU-0006,0.24,0.43528441879637286,0.203136136849608
FarmGate Inc. #991,SKU-0007,0.28,0.3149216817807091,0.6970776906628653
Harvest Direct Trading #85,SKU-0007,0.6,0.1904369332234127,1.0
Fresh Fields Trading #594,SKU-0007,0.24,0.4748557295960429,0.203136136849608
FarmGate Inc. #991,SKU-0008,0.28,0.17394888705688377,0.6970776906628653
Harvest Direct Trading #85,SKU-0008,0.6,0.31574608408903543,1.0
Fresh Fields Trading #594,SKU-0008,0.24,0.38417147568013177,0.203136136849608
FarmGate Inc. #991,SKU-0009,0.28,0.5152514427040398,0.6970776906628653
Harvest Direct Trading #85,SKU-0009,0.6,0.8252267106347899,1.0
Fresh Fields Trading #594,SKU-0009,0.24,0.273701566364386,0.203136136849608
FarmGate Inc. #991,SKU-0010,0.28,0.5267930750206103,0.6970776906628653
Harvest Direct Trading #85,SKU-0010,0.6,0.5993404781533387,1.0
Fresh Fields Trading #594,SKU-0010,0.24,0.09233305853256371,0.203136136849608
NexGen Electronics Ltd. #853,SKU-0011,0.36,0.7600989282769993,0.6600142551674982
Amperion Supply Chain #474,SKU-0011,0.0,0.3355317394888707,0.9059158945117605
NexGen Electronics Supply Chain #840,SKU-0011,0.8,0.23248145094806277,0.7726300784034212
WoodCraft Supply Ltd. #445,SKU-0012,1.0,0.9843363561417974,0.579472558802566
Oakline Wholesale #836,SKU-0012,0.76,1.0,0.5146115466856735
WoodCraft Supply LLC #730,SKU-0012,0.96,0.8516075845012367,0.7063435495367071
FarmGate Inc. #991,SKU-0013,0.28,0.23083264633140957,0.6970776906628653
Harvest Direct Trading #85,SKU-0013,0.6,0.046166529266281855,1.0
Fresh Fields Trading #594,SKU-0013,0.24,0.5713107996702392,0.203136136849608
WoodCraft Supply Ltd. #445,SKU-0014,1.0,0.6290189612530914,0.579472558802566
Oakline Wholesale #836,SKU-0014,0.76,0.31657048639736174,0.5146115466856735
WoodCraft Supply LLC #730,SKU-0014,0.96,0.682605111294312,0.7063435495367071
FarmGate Inc. #991,SKU-0015,0.28,0.05358615004122002,0.6970776906628653
Harvest Direct Trading #85,SKU-0015,0.6,0.8565539983511957,1.0
Fresh Fields Trading #594,SKU-0015,0.24,0.2588623248145096,0.203136136849608
FarmGate Inc. #991,SKU-0016,0.28,0.6323165704863978,0.6970776906628653
Harvest Direct Trading #85,SKU-0016,0.6,0.30997526793075014,1.0
Fresh Fields Trading #594,SKU-0016,0.24,0.5012366034624898,0.203136136849608
FunCraft Inc. #567,SKU-0017,0.64,0.4888705688375929,0.0
Wondermakers Trading #492,SKU-0017,0.8,0.16075845012366005,0.8353528153955809
Wondermakers LLC #801,SKU-0017,0.52,0.8722176422093983,0.7042052744119743
Wovenwear Partners #152,SKU-0018,0.04,0.7699917559769167,0.39629365645046327
Wovenwear Inc. #989,SKU-0018,0.8,0.9225061830173126,0.19387027797576623
Fabricraft Co. #386,SKU-0018,0.28,0.8804616652926631,0.2451888809693514
Wovenwear Partners #152,SKU-0019,0.04,0.6446826051112946,0.39629365645046327
Wovenwear Inc. #989,SKU-0019,0.8,0.9497114591920858,0.19387027797576623
Fabricraft Co. #386,SKU-0019,0.28,0.16570486397361903,0.2451888809693514
WoodCraft Supply Ltd. #445,SKU-0020,1.0,0.3173948887056886,0.579472558802566
Oakline Wholesale #836,SKU-0020,0.76,0.1731244847485575,0.5146115466856735
WoodCraft Supply LLC #730,SKU-0020,0.96,0.44105523495465815,0.7063435495367071
