date,sku,demand,revenue,units
2022-01-01,SKU-0001,102,7046.57,102
2022-01-01,SKU-0001,127,3403.6,127
2022-01-01,SKU-0002,117,7971.91,117
2022-01-01,SKU-0002,150,7561.2,150
2022-01-01,SKU-0003,114,6457.64,114
2022-01-01,SKU-0003,65,1637.42,65
2022-01-01,SKU-0004,45,3549.02,45
2022-01-01,SKU-0004,61,1796.33,61
2022-01-01,SKU-0005,65,3536.65,65
2022-01-01,SKU-0005,14,1030.96,14
2022-01-01,SKU-0006,60,2131.8,60
2022-01-01,SKU-0006,128,8850.82,128
2022-01-01,SKU-0007,81,1790.63,81
2022-01-01,SKU-0007,97,2982.17,97
2022-01-01,SKU-0008,42,1507.82,42
2022-01-01,SKU-0008,312,29044.24,312
2022-01-01,SKU-0009,88,7875.12,88
2022-01-01,SKU-0009,175,3266.55,175
2022-01-01,SKU-0010,70,7141.05,70
2022-01-01,SKU-0010,28,1679.72,28
2022-01-01,SKU-0011,51,7973.34,51
2022-01-01,SKU-0011,150,7901.55,150
2022-01-01,SKU-0012,121,10222.08,121
2022-01-01,SKU-0012,24,1118.4,24
2022-01-01,SKU-0013,113,3553.28,113
2022-01-01,SKU-0013,42,1831.2,42
2022-01-01,SKU-0014,121,8726.16,121
2022-01-01,SKU-0014,12,937.32,12
2022-01-01,SKU-0015,55,751.88,55
2022-01-01,SKU-0015,369,29166.31,369
2022-01-01,SKU-0016,78,2723.06,78
2022-01-01,SKU-0016,255,5305.28,255
2022-01-01,SKU-0017,59,1251.39,59
2022-01-01,SKU-0017,246,4146.58,246
2022-01-01,SKU-0018,78,4031.04,78
2022-01-01,SKU-0018,151,2807.32,151
2022-01-01,SKU-0019,61,5246.24,61
2022-01-01,SKU-0019,257,16949.66,257
2022-01-01,SKU-0020,36,3436.07,36
2022-01-01,SKU-0020,99,2844.07,99
2022-01-01,SKU-0001,102,9270.78,102
2022-01-01,SKU-0001,104,2728.96,104
2022-01-01,SKU-0002,119,2291.94,119
2022-01-01,SKU-0002,141,5857.7,141
2022-01-01,SKU-0003,167,14304.05,167
2022-01-01,SKU-0003,182,2978.98,182
2022-01-01,SKU-0004,111,3950.05,111
2022-01-01,SKU-0004,63,1649.97,63
2022-01-01,SKU-0005,103,9512.05,103
2022-01-01,SKU-0005,156,10394.59,156
2022-01-01,SKU-0006,79,4803.2,79
2022-01-01,SKU-0006,250,17118.0,250
2022-01-01,SKU-0007,89,2040.15,89
2022-01-01,SKU-0007,393,34023.39,393
2022-01-01,SKU-0008,124,3019.21,124
2022-01-01,SKU-0008,29,1553.47,29
2022-01-01,SKU-0009,131,7644.64,131
2022-01-01,SKU-0009,9,695.03,9
2022-01-01,SKU-0010,118,13134.76,118
2022-01-01,SKU-0010,126,7665.84,126
2022-01-01,SKU-0011,49,3735.71,49
2022-01-01,SKU-0011,13,450.06,13
2022-01-01,SKU-0012,78,6151.08,78
2022-01-01,SKU-0012,25,464.55,25
2022-01-01,SKU-0013,93,1821.31,93
2022-01-01,SKU-0013,283,13081.39,283
2022-01-01,SKU-0014,69,6221.18,69
2022-01-01,SKU-0014,359,26215.62,359
2022-01-01,SKU-0015,70,4106.97,70
2022-01-01,SKU-0015,129,6568.03,129
2022-01-01,SKU-0016,113,12009.24,113
2022-01-01,SKU-0016,63,2300.76,63
2022-01-01,SKU-0017,72,1292.08,72
2022-01-01,SKU-0017,373,3494.26,373
2022-01-01,SKU-0018,69,1909.23,69
2022-01-01,SKU-0018,160,8943.68,160
2022-01-01,SKU-0019,82,6132.04,82
2022-01-01,SKU-0019,15,1211.11,15
2022-01-01,SKU-0020,43,5409.4,43
2022-01-01,SKU-0020,101,8797.1,101
2022-01-01,SKU-0001,109,1652.98,109
2022-01-01,SKU-0001,147,9385.88,147
2022-01-01,SKU-0002,56,2541.17,56
2022-01-01,SKU-0002,4,101.52,4
2022-01-01,SKU-0003,122,8117.39,122
2022-01-01,SKU-0003,77,3891.89,77
2022-01-01,SKU-0004,122,3047.01,122
2022-01-01,SKU-0004,31,2220.34,31
2022-01-01,SKU-0005,40,752.4,40
2022-01-01,SKU-0005,325,25467.0,325
2022-01-01,SKU-0006,106,4731.84,106
2022-01-01,SKU-0006,163,11825.89,163
2022-01-01,SKU-0007,123,2293.95,123
2022-01-01,SKU-0007,34,2514.01,34
2022-01-01,SKU-0008,61,6893.61,61
2022-01-01,SKU-0008,47,2657.87,47
2022-01-01,SKU-0009,96,5136.38,96
2022-01-01,SKU-0009,15,954.46,15
2022-01-01,SKU-0010,70,2281.23,70
2022-01-01,SKU-0010,126,11621.67,126
2022-01-01,SKU-0011,157,18532.91,157
2022-01-01,SKU-0011,232,13036.08,232
2022-01-01,SKU-0012,58,6144.52,58
2022-01-01,SKU-0012,175,12653.2,175
2022-01-01,SKU-0013,105,8200.71,105
2022-01-01,SKU-0013,17,1006.13,17
2022-01-01,SKU-0014,27,1249.22,27
2022-01-01,SKU-0014,369,27703.97,369
2022-01-01,SKU-0015,131,11608.43,131
2022-01-01,SKU-0015,260,6846.84,260
2022-01-01,SKU-0016,80,6775.92,80
2022-01-01,SKU-0016,347,28958.19,347
2022-01-01,SKU-0017,53,5353.37,53
2022-01-01,SKU-0017,150,3861.75,150
2022-01-01,SKU-0018,56,7179.34,56
2022-01-01,SKU-0018,70,5776.26,70
2022-01-01,SKU-0019,109,6508.39,109
2022-01-01,SKU-0019,249,5653.17,249
2022-01-01,SKU-0020,41,2563.3,41
2022-01-01,SKU-0020,370,28371.6,370
2022-01-01,SKU-0001,85,889.95,85
2022-01-01,SKU-0001,271,3598.07,271
2022-01-01,SKU-0002,67,1152.94,67
2022-01-01,SKU-0002,180,7033.23,180
2022-01-01,SKU-0003,92,9874.18,92
2022-01-01,SKU-0003,344,24580.86,344
2022-01-01,SKU-0004,88,4544.32,88
2022-01-01,SKU-0004,0,0.0,0
2022-01-01,SKU-0005,197,15820.48,197
2022-01-01,SKU-0005,200,16344.0,200
2022-01-01,SKU-0006,48,1695.84,48
2022-01-01,SKU-0006,382,14216.13,382
2022-01-01,SKU-0007,43,994.29,43
2022-01-01,SKU-0007,190,10223.52,190
2022-01-01,SKU-0008,59,5937.76,59
