Sale_ID,Date,Store_ID,Product_ID,Category,Region,Inventory_Level,Units_Sold,Units_Ordered,Price,Discount,Weather_Condition,Promotion,Competitor_Pricing,Seasonality,Epidemic,Source
1,2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0.0,demand_forecasting_dataset
2,2022-01-01,S001,P0001,Groceries,North,231,127,55,33.5,20,Rainy,0,29.69,Autumn,,retail_store_inventory
3,2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,1,92.02,Winter,0.0,demand_forecasting_dataset
4,2022-01-01,S001,P0002,Toys,South,204,150,66,63.01,20,Sunny,0,66.16,Autumn,,retail_store_inventory
5,2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,1,60.08,Winter,0.0,demand_forecasting_dataset
6,2022-01-01,S001,P0003,Toys,West,102,65,51,27.99,10,Sunny,1,31.32,Summer,,retail_store_inventory
7,2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,0,85.19,Winter,0.0,demand_forecasting_dataset
8,2022-01-01,S001,P0004,Toys,North,469,61,164,32.72,10,Cloudy,1,34.74,Autumn,,retail_store_inventory
9,2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,0,51.63,Winter,0.0,demand_forecasting_dataset
10,2022-01-01,S001,P0005,Electronics,East,166,14,135,73.64,0,Sunny,0,68.95,Summer,,retail_store_inventory
11,2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,0,40.01,Winter,0.0,demand_forecasting_dataset
12,2022-01-01,S001,P0006,Groceries,South,138,128,102,76.83,10,Sunny,1,79.35,Winter,,retail_store_inventory
13,2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,0,24.78,Winter,0.0,demand_forecasting_dataset
14,2022-01-01,S001,P0007,Furniture,East,359,97,167,34.16,10,Rainy,1,36.55,Winter,,retail_store_inventory
15,2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,0,44.85,Winter,0.0,demand_forecasting_dataset
16,2022-01-01,S001,P0008,Clothing,North,380,312,54,97.99,5,Cloudy,0,100.09,Spring,,retail_store_inventory
17,2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,0,108.7,Winter,0.0,demand_forecasting_dataset
18,2022-01-01,S001,P0009,Electronics,West,183,175,135,20.74,10,Cloudy,0,17.66,Autumn,,retail_store_inventory
19,2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,0,129.98,Winter,0.0,demand_forecasting_dataset
20,2022-01-01,S001,P0010,Toys,South,108,28,196,59.99,0,Rainy,1,61.21,Winter,,retail_store_inventory
21,2022-01-01,S001,P0011,Furniture,North,215,51,142,156.34,0,Snowy,0,188.96,Winter,0.0,demand_forecasting_dataset
22,2022-01-01,S001,P0011,Furniture,South,258,150,153,58.53,10,Sunny,1,61.42,Spring,,retail_store_inventory
23,2022-01-01,S001,P0012,Groceries,North,289,121,215,84.48,0,Snowy,0,92.02,Winter,0.0,demand_forecasting_dataset
24,2022-01-01,S001,P0012,Clothing,West,66,24,70,58.25,20,Snowy,0,62.21,Spring,,retail_store_inventory
25,2022-01-01,S001,P0013,Toys,North,279,113,0,33.1,5,Snowy,0,39.11,Winter,0.0,demand_forecasting_dataset
26,2022-01-01,S001,P0013,Toys,South,96,42,85,43.6,0,Cloudy,0,46.31,Spring,,retail_store_inventory
27,2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,1,92.24,Winter,0.0,demand_forecasting_dataset
28,2022-01-01,S001,P0014,Clothing,West,193,12,187,78.11,0,Sunny,0,80.06,Spring,,retail_store_inventory
29,2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,0,13.59,Winter,0.0,demand_forecasting_dataset
30,2022-01-01,S001,P0015,Clothing,North,379,369,154,92.99,15,Snowy,0,95.8,Winter,,retail_store_inventory
31,2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,0,35.14,Winter,0.0,demand_forecasting_dataset
32,2022-01-01,S001,P0016,Electronics,North,363,255,69,21.9,5,Cloudy,1,20.27,Autumn,,retail_store_inventory
33,2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,0,22.73,Winter,0.0,demand_forecasting_dataset
34,2022-01-01,S001,P0017,Toys,West,318,246,177,21.07,20,Sunny,0,16.49,Winter,,retail_store_inventory
35,2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,0,54.1,Winter,0.0,demand_forecasting_dataset
36,2022-01-01,S001,P0018,Clothing,South,241,151,47,19.57,5,Cloudy,0,23.13,Autumn,,retail_store_inventory
37,2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,0,103.05,Winter,0.0,demand_forecasting_dataset
38,2022-01-01,S001,P0019,Clothing,East,352,257,186,73.28,10,Cloudy,0,77.26,Winter,,retail_store_inventory
39,2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,0,115.24,Winter,0.0,demand_forecasting_dataset
40,2022-01-01,S001,P0020,Toys,East,274,99,166,30.24,5,Cloudy,0,27.1,Spring,,retail_store_inventory
41,2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,0,81.87,Winter,0.0,demand_forecasting_dataset
42,2022-01-01,S002,P0001,Groceries,South,343,104,144,32.8,20,Sunny,1,30.78,Spring,,retail_store_inventory
43,2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,1,30.95,Winter,0.0,demand_forecasting_dataset
44,2022-01-01,S002,P0002,Clothing,West,373,141,151,46.16,10,Rainy,1,45.21,Winter,,retail_store_inventory
45,2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,1,84.24,Winter,0.0,demand_forecasting_dataset
46,2022-01-01,S002,P0003,Furniture,East,445,182,119,20.46,20,Snowy,1,22.0,Spring,,retail_store_inventory
47,2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,0,46.57,Winter,0.0,demand_forecasting_dataset
48,2022-01-01,S002,P0004,Toys,West,191,63,115,26.19,0,Cloudy,0,28.06,Autumn,,retail_store_inventory
49,2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,0,104.72,Winter,0.0,demand_forecasting_dataset
50,2022-01-01,S002,P0005,Toys,West,281,156,25,83.29,20,Rainy,0,80.64,Autumn,,retail_store_inventory
51,2022-01-01,S002,P0006,Clothing,South,198,79,0,64.0,5,Cloudy,0,57.37,Winter,0.0,demand_forecasting_dataset
52,2022-01-01,S002,P0006,Furniture,North,492,250,168,85.59,20,Cloudy,0,86.82,Winter,,retail_store_inventory
53,2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,0,30.08,Winter,0.0,demand_forecasting_dataset
54,2022-01-01,S002,P0007,Groceries,West,460,393,70,91.13,5,Sunny,0,93.33,Summer,,retail_store_inventory
55,2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,0,29.79,Winter,0.0,demand_forecasting_dataset
56,2022-01-01,S002,P0008,Electronics,West,304,29,99,66.96,20,Snowy,0,65.36,Summer,,retail_store_inventory
57,2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,0,68.68,Winter,0.0,demand_forecasting_dataset
58,2022-01-01,S002,P0009,Clothing,South,113,9,84,81.29,5,Rainy,1,82.06,Winter,,retail_store_inventory
59,2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,0,106.37,Winter,0.0,demand_forecasting_dataset
60,2022-01-01,S002,P0010,Electronics,North,157,126,181,60.84,0,Snowy,1,65.22,Winter,,retail_store_inventory
61,2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,0,76.07,Winter,0.0,demand_forecasting_dataset
62,2022-01-01,S002,P0011,Groceries,West,67,13,33,34.62,0,Snowy,1,33.98,Autumn,,retail_store_inventory
63,2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,0,69.84,Winter,0.0,demand_forecasting_dataset
64,2022-01-01,S002,P0012,Groceries,East,281,25,136,19.56,5,Rainy,1,19.01,Winter,,retail_store_inventory
65,2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,0,21.12,Winter,0.0,demand_forecasting_dataset
66,2022-01-01,S002,P0013,Clothing,East,389,283,177,57.78,20,Cloudy,0,58.5,Spring,,retail_store_inventory
67,2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,1,108.96,Winter,0.0,demand_forecasting_dataset
68,2022-01-01,S002,P0014,Electronics,East,465,359,77,91.28,20,Cloudy,0,90.85,Summer,,retail_store_inventory
69,2022-01-01,S002,P0015,Clothing,South,106,70,457,65.19,10,Cloudy,0,64.23,Winter,0.0,demand_forecasting_dataset
70,2022-01-01,S002,P0015,Toys,South,197,129,94,59.9,15,Sunny,1,55.23,Winter,,retail_store_inventory
71,2022-01-01,S002,P0016,Clothing,South,113,113,323,111.87,5,Cloudy,0,118.76,Winter,0.0,demand_forecasting_dataset
72,2022-01-01,S002,P0016,Toys,South,242,63,85,45.65,20,Rainy,1,42.17,Spring,,retail_store_inventory
73,2022-01-01,S002,P0017,Toys,South,153,72,196,18.89,5,Cloudy,0,18.27,Winter,0.0,demand_forecasting_dataset
