warehouse,sku,stock,reorder_level,last_updated
S001,P0001,303,78,2026-07-30 10:00:00
S001,P0003,219,95,2026-07-15 11:00:00
S001,P0005,516,180,2026-07-28 10:00:00
S001,P0006,777,52,2026-07-15 16:00:00
S001,P0007,719,44,2026-07-13 10:00:00
S001,P0008,695,94,2026-07-12 14:00:00
S001,P0009,858,178,2026-07-17 13:00:00
S001,P0010,129,86,2026-07-25 16:00:00
S001,P0014,761,200,2026-07-18 08:00:00
S001,P0017,179,116,2026-07-22 18:00:00
S001,P0018,316,112,2026-07-17 12:00:00
S001,P0019,195,106,2026-07-11 17:00:00
S001,P0020,384,59,2026-07-12 14:00:00
S002,P0001,381,163,2026-07-24 15:00:00
S002,P0002,569,48,2026-07-30 17:00:00
S002,P0003,885,145,2026-07-19 08:00:00
S002,P0005,662,115,2026-07-11 17:00:00
S002,P0006,469,177,2026-07-19 16:00:00
S002,P0007,658,162,2026-07-22 16:00:00
S002,P0008,153,62,2026-07-29 16:00:00
S002,P0009,572,156,2026-07-31 16:00:00
S002,P0010,347,195,2026-07-17 08:00:00
S002,P0011,616,118,2026-07-22 18:00:00
S002,P0012,252,99,2026-07-11 11:00:00
S002,P0014,291,143,2026-07-27 15:00:00
S002,P0015,77,66,2026-07-12 14:00:00
S002,P0016,541,174,2026-07-13 17:00:00
S002,P0017,936,189,2026-07-21 13:00:00
S002,P0019,992,132,2026-07-27 08:00:00
S002,P0020,384,56,2026-07-24 13:00:00
S003,P0001,52,191,2026-07-17 14:00:00
S003,P0003,75,197,2026-07-22 12:00:00
S003,P0004,345,96,2026-07-11 16:00:00
S003,P0005,614,154,2026-07-18 16:00:00
S003,P0006,621,125,2026-07-15 13:00:00
S003,P0007,709,169,2026-07-25 18:00:00
S003,P0008,454,100,2026-07-11 11:00:00
S003,P0011,814,163,2026-07-13 11:00:00
S003,P0012,175,181,2026-07-28 14:00:00
S003,P0013,705,52,2026-07-19 11:00:00
S003,P0014,191,197,2026-07-15 17:00:00
S003,P0015,448,180,2026-07-15 09:00:00
S003,P0016,998,36,2026-07-17 18:00:00
S003,P0017,67,148,2026-07-26 13:00:00
S003,P0018,901,96,2026-07-20 10:00:00
S003,P0019,274,167,2026-07-22 09:00:00
S003,P0020,460,134,2026-07-24 09:00:00
S004,P0001,709,145,2026-07-28 08:00:00
S004,P0002,468,64,2026-07-27 12:00:00
S004,P0003,251,100,2026-07-25 09:00:00
S004,P0005,174,73,2026-07-15 09:00:00
S004,P0006,995,88,2026-07-15 12:00:00
S004,P0007,837,103,2026-07-11 14:00:00
S004,P0008,930,67,2026-07-10 14:00:00
S004,P0010,78,50,2026-07-11 11:00:00
S004,P0011,842,155,2026-07-27 08:00:00
S004,P0012,510,77,2026-07-20 10:00:00
S004,P0013,181,78,2026-07-31 17:00:00
S004,P0015,378,74,2026-07-31 15:00:00
S004,P0016,126,191,2026-07-19 11:00:00
S004,P0017,803,119,2026-07-20 14:00:00
S004,P0019,808,165,2026-07-20 15:00:00
S004,P0020,799,146,2026-07-14 18:00:00
S005,P0001,735,120,2026-07-12 13:00:00
S005,P0002,501,85,2026-07-19 14:00:00
S005,P0005,325,154,2026-07-31 13:00:00
S005,P0007,168,121,2026-07-15 18:00:00
S005,P0008,198,81,2026-07-18 12:00:00
S005,P0009,410,198,2026-07-17 11:00:00
S005,P0010,338,197,2026-07-10 08:00:00
S005,P0012,51,194,2026-07-26 10:00:00
S005,P0013,925,162,2026-07-18 17:00:00
S005,P0014,219,121,2026-07-17 15:00:00
S005,P0015,577,94,2026-07-30 10:00:00
S005,P0016,565,128,2026-07-10 09:00:00
S005,P0018,535,62,2026-07-27 16:00:00
S005,P0019,803,131,2026-07-11 08:00:00
S005,P0020,510,151,2026-07-18 14:00:00
