sku,name,category,price
SKU-001,Backpack SKU-001,Sports,99.88
SKU-002,Face Wash SKU-002,Beauty,86.45
SKU-003,Blender SKU-003,Home & Kitchen,235.03
SKU-004,Shampoo SKU-004,Beauty,80.0
SKU-005,Toaster SKU-005,Home & Kitchen,485.26
SKU-006,Dumbbells SKU-006,Sports,99.09
SKU-007,Moisturizer SKU-007,Beauty,159.08
SKU-008,Shampoo SKU-008,Beauty,21.3
SKU-009,Blender SKU-009,Home & Kitchen,205.93
SKU-010,Running Shoes SKU-010,Sports,189.52
SKU-011,Vacuum Cleaner SKU-011,Home & Kitchen,261.97
SKU-012,Wireless Earbuds SKU-012,Electronics,431.37
SKU-013,Moisturizer SKU-013,Beauty,41.88
SKU-014,Yoga Mat SKU-014,Sports,483.16
SKU-015,Jeans SKU-015,Clothing,159.26
SKU-016,Serum SKU-016,Beauty,345.27
SKU-017,Running Shoes SKU-017,Sports,252.64
SKU-018,Air Fryer SKU-018,Home & Kitchen,136.8
SKU-019,Dumbbells SKU-019,Sports,218.33
SKU-020,Jacket SKU-020,Clothing,100.58
SKU-021,Jeans SKU-021,Clothing,230.38
SKU-022,Jacket SKU-022,Clothing,302.97
SKU-023,Yoga Mat SKU-023,Sports,480.97
SKU-024,Face Wash SKU-024,Beauty,142.96
SKU-025,Serum SKU-025,Beauty,482.98
SKU-026,Running Shoes SKU-026,Sports,145.24
SKU-027,Face Wash SKU-027,Beauty,46.53
SKU-028,Smartphone SKU-028,Electronics,107.37
SKU-029,Blender SKU-029,Home & Kitchen,356.36
SKU-030,Blender SKU-030,Home & Kitchen,387.92
SKU-031,Serum SKU-031,Beauty,185.65
SKU-032,Smartwatch SKU-032,Electronics,432.92
SKU-033,Dumbbells SKU-033,Sports,56.75
SKU-034,Sunscreen SKU-034,Beauty,299.74
SKU-035,Blender SKU-035,Home & Kitchen,241.39
SKU-036,Sunscreen SKU-036,Beauty,382.78
SKU-037,Hoodie SKU-037,Clothing,266.14
SKU-038,Jeans SKU-038,Clothing,225.27
SKU-039,Air Fryer SKU-039,Home & Kitchen,164.03
SKU-040,Backpack SKU-040,Sports,132.15
SKU-041,Sunscreen SKU-041,Beauty,109.5
SKU-042,Sunscreen SKU-042,Beauty,350.44
SKU-043,Dumbbells SKU-043,Sports,315.93
SKU-044,Bluetooth Speaker SKU-044,Electronics,437.02
SKU-045,Running Shoes SKU-045,Sports,101.42
SKU-046,Coffee Maker SKU-046,Home & Kitchen,69.82
SKU-047,Smartphone SKU-047,Electronics,143.34
SKU-048,Air Fryer SKU-048,Home & Kitchen,410.83
SKU-049,Wireless Earbuds SKU-049,Electronics,13.41
SKU-050,Air Fryer SKU-050,Home & Kitchen,247.57
SKU-051,Wireless Earbuds SKU-051,Electronics,142.01
SKU-052,Air Fryer SKU-052,Home & Kitchen,207.88
SKU-053,Laptop SKU-053,Electronics,481.6
SKU-054,Hoodie SKU-054,Clothing,157.43
SKU-055,Smartphone SKU-055,Electronics,140.72
SKU-056,Jeans SKU-056,Clothing,211.41
SKU-057,Moisturizer SKU-057,Beauty,320.83
SKU-058,Sneakers SKU-058,Clothing,249.83
SKU-059,Water Bottle SKU-059,Sports,191.13
SKU-060,Bluetooth Speaker SKU-060,Electronics,319.83
SKU-061,Air Fryer SKU-061,Home & Kitchen,83.85
SKU-062,Toaster SKU-062,Home & Kitchen,430.6
SKU-063,Water Bottle SKU-063,Sports,117.92
SKU-064,Hoodie SKU-064,Clothing,406.66
SKU-065,Running Shoes SKU-065,Sports,470.86
SKU-066,T-Shirt SKU-066,Clothing,341.09
SKU-067,Smartphone SKU-067,Electronics,112.45
SKU-068,Hoodie SKU-068,Clothing,121.99
SKU-069,T-Shirt SKU-069,Clothing,263.15
SKU-070,Laptop SKU-070,Electronics,498.16
SKU-071,Backpack SKU-071,Sports,451.2
