Supplier_ID,Supplier_Name,Category_Supplied,City,Region_Based,Contact_Email,Lead_Time_Days,Min_Order_Qty,Reliability_Score
SUP-CAT1-0001,UrbanStitch Trading #1,Clothing,Seattle,East,contact1@northwindapparel.com,26,891,0.85
SUP-CAT1-0002,Wovenwear Partners #2,Clothing,Seattle,North,contact2@wovenwear.com,25,841,0.92
SUP-CAT1-0003,Wovenwear LLC #3,Clothing,Osaka,East,contact3@urbanstitch.com,4,1443,0.9
SUP-CAT1-0004,Threadline Ltd. #4,Clothing,Rotterdam,East,contact4@wovenwear.com,30,583,0.82
SUP-CAT1-0005,Northwind Apparel Supply Chain #5,Clothing,Denver,East,contact5@wovenwear.com,24,1230,0.83
SUP-CAT1-0006,Threadline LLC #6,Clothing,Newark,West,contact6@northwindapparel.com,25,1589,0.9
SUP-CAT1-0007,UrbanStitch Partners #7,Clothing,Rotterdam,North,contact7@fabricraft.com,30,666,0.92
SUP-CAT1-0008,Threadline Supply Chain #8,Clothing,Shenzhen,South,contact8@urbanstitch.com,19,1881,0.83
SUP-CAT1-0009,Wovenwear Partners #9,Clothing,Mumbai,Central,contact9@urbanstitch.com,24,224,0.82
SUP-CAT1-0010,Wovenwear Ltd. #10,Clothing,Denver,East,contact10@wovenwear.com,29,699,0.92
SUP-CAT1-0011,Threadline Distributors #11,Clothing,Mumbai,Central,contact11@fabricraft.com,12,214,0.89
SUP-CAT1-0012,Fabricraft Inc. #12,Clothing,Hanoi,Central,contact12@fabricraft.com,6,229,0.84
SUP-CAT1-0013,Fabricraft Partners #13,Clothing,Atlanta,North,contact13@northwindapparel.com,19,252,0.97
SUP-CAT1-0014,Wovenwear Distributors #14,Clothing,Denver,East,contact14@northwindapparel.com,6,106,0.95
SUP-CAT1-0015,Threadline Trading #15,Clothing,Osaka,North,contact15@threadline.com,20,952,0.86
SUP-CAT1-0016,Fabricraft Group #16,Clothing,Portland,East,contact16@wovenwear.com,14,160,0.94
SUP-CAT1-0017,Northwind Apparel Trading #17,Clothing,Dallas,East,contact17@threadline.com,28,245,0.81
SUP-CAT1-0018,Fabricraft Partners #18,Clothing,Phoenix,Central,contact18@threadline.com,28,1231,0.81
