sku,name,category,price
P0001,Product P0001,Clothing,54.39
P0002,Product P0002,Clothing,54.1
P0003,Product P0003,Clothing,55.36
P0004,Product P0004,Clothing,55.14
P0005,Product P0005,Clothing,54.76
P0006,Product P0006,Clothing,54.2
P0007,Product P0007,Clothing,53.91
P0008,Product P0008,Clothing,55.35
P0009,Product P0009,Clothing,56.394999999999996
P0010,Product P0010,Clothing,56.09
P0011,Product P0011,Clothing,57.81
P0012,Product P0012,Clothing,56.695
P0013,Product P0013,Clothing,54.64
P0014,Product P0014,Clothing,57.825
P0015,Product P0015,Clothing,55.38
P0016,Product P0016,Clothing,54.955
P0017,Product P0017,Clothing,54.88
P0018,Product P0018,Clothing,55.09
P0019,Product P0019,Clothing,56.33
P0020,Product P0020,Clothing,56.644999999999996
