supplier,sku,lead_time,price,min_order
Global Trade Ltd #62,SKU-111,8,199.94,89
Global Trade Ltd #4,SKU-390,23,138.43,12
Global Trade Ltd #41,SKU-188,11,134.39,91
Global Trade Ltd #12,SKU-087,13,52.07,54
Global Trade Ltd #19,SKU-055,15,104.38,17
Global Trade Ltd #93,SKU-119,22,199.32,60
Global Trade Ltd #44,SKU-082,7,217.16,31
Global Trade Ltd #37,SKU-352,10,150.52,37
Global Trade Ltd #74,SKU-243,4,70.07,63
Global Trade Ltd #63,SKU-207,2,252.93,58
Global Trade Ltd #94,SKU-213,21,190.49,29
Global Trade Ltd #60,SKU-152,19,260.77,45
Global Trade Ltd #98,SKU-228,3,181.33,45
Global Trade Ltd #6,SKU-295,11,297.68,67
Global Trade Ltd #12,SKU-131,14,142.41,30
Global Trade Ltd #15,SKU-225,4,233.92,96
Global Trade Ltd #42,SKU-428,15,291.56,46
Global Trade Ltd #69,SKU-422,14,133.96,69
Global Trade Ltd #14,SKU-231,21,179.92,79
Global Trade Ltd #17,SKU-379,3,258.11,14
Global Trade Ltd #65,SKU-424,13,43.61,54
Global Trade Ltd #23,SKU-303,12,265.69,23
Global Trade Ltd #80,SKU-458,11,202.47,10
Global Trade Ltd #5,SKU-276,9,187.06,10
Global Trade Ltd #57,SKU-064,23,54.45,46
Global Trade Ltd #47,SKU-485,13,145.02,53
Global Trade Ltd #56,SKU-156,16,261.14,70
Global Trade Ltd #20,SKU-370,15,21.84,46
Global Trade Ltd #20,SKU-282,2,41.02,79
Global Trade Ltd #59,SKU-325,2,154.63,87
Global Trade Ltd #12,SKU-490,21,296.06,97
Global Trade Ltd #43,SKU-126,3,100.32,38
Global Trade Ltd #57,SKU-039,16,158.91,32
Global Trade Ltd #44,SKU-294,21,42.09,54
Global Trade Ltd #52,SKU-336,19,64.55,17
Global Trade Ltd #85,SKU-129,24,203.42,14
Global Trade Ltd #86,SKU-175,3,200.18,99
Global Trade Ltd #43,SKU-458,19,77.02,35
Global Trade Ltd #8,SKU-303,9,231.71,81
Global Trade Ltd #89,SKU-302,5,204.57,28
Global Trade Ltd #31,SKU-464,15,121.19,78
Global Trade Ltd #90,SKU-446,3,299.83,79
Global Trade Ltd #63,SKU-073,2,125.04,57
Global Trade Ltd #13,SKU-073,22,172.27,84
Global Trade Ltd #68,SKU-098,7,101.47,28
Global Trade Ltd #70,SKU-482,19,263.98,32
Global Trade Ltd #83,SKU-365,12,115.82,63
