Product_Record_ID,Product_ID,Category,Store_ID,Region,YearMonth,Source,Avg_Price,Avg_Competitor_Pricing,Avg_Discount,Total_Units_Sold,Total_Units_Ordered,Avg_Inventory_Level,Records,Supplier_ID
1,P0001,Clothing,S001,East,2022-02,retail_store_inventory,96.55,100.1,10.0,337,136,337.0,1,SUP-CAT1-0945
2,P0001,Clothing,S001,East,2022-03,retail_store_inventory,24.69,20.0,10.0,147,184,285.0,1,SUP-CAT1-0626
3,P0001,Clothing,S001,East,2022-05,retail_store_inventory,40.6,41.17,5.0,689,346,232.5,4,SUP-CAT1-0685
4,P0001,Clothing,S001,East,2022-06,retail_store_inventory,35.77,32.59,5.0,109,121,133.0,1,SUP-CAT1-0898
5,P0001,Clothing,S001,East,2022-07,retail_store_inventory,92.32,94.95,10.0,88,101,422.0,1,SUP-CAT1-0579
6,P0001,Clothing,S001,East,2022-08,retail_store_inventory,62.16,61.42,10.0,270,255,333.5,2,SUP-CAT1-0776
7,P0001,Clothing,S001,East,2022-09,retail_store_inventory,36.22,34.58,8.33,419,363,318.0,3,SUP-CAT1-0834
8,P0001,Clothing,S001,East,2022-10,retail_store_inventory,63.43,62.88,10.0,353,119,440.0,1,SUP-CAT1-0226
9,P0001,Clothing,S001,East,2022-11,retail_store_inventory,25.15,22.26,0.0,149,141,211.0,1,SUP-CAT1-0056
10,P0001,Clothing,S001,East,2023-01,retail_store_inventory,30.77,30.32,7.5,529,113,328.5,2,SUP-CAT1-0301
11,P0001,Clothing,S001,East,2023-02,retail_store_inventory,40.45,41.47,10.0,199,130,280.0,1,SUP-CAT1-0286
12,P0001,Clothing,S001,East,2023-03,retail_store_inventory,34.63,33.42,10.0,40,352,203.0,2,SUP-CAT1-0874
13,P0001,Clothing,S001,East,2023-04,retail_store_inventory,62.28,63.28,7.5,451,339,422.5,2,SUP-CAT1-0913
14,P0001,Clothing,S001,East,2023-06,retail_store_inventory,43.16,43.94,6.0,518,711,232.2,5,SUP-CAT1-0006
15,P0001,Clothing,S001,East,2023-07,retail_store_inventory,36.5,35.02,18.33,465,368,298.0,3,SUP-CAT1-0500
16,P0001,Clothing,S001,East,2023-08,retail_store_inventory,27.17,30.64,12.5,339,274,236.5,2,SUP-CAT1-0822
17,P0001,Clothing,S001,East,2023-10,retail_store_inventory,70.63,69.08,5.0,695,554,294.0,4,SUP-CAT1-0132
18,P0001,Clothing,S001,North,2022-02,retail_store_inventory,57.07,57.94,12.5,690,670,296.5,4,SUP-CAT1-0798
19,P0001,Clothing,S001,North,2022-03,retail_store_inventory,49.73,53.34,10.0,130,225,303.0,2,SUP-CAT1-0120
20,P0001,Clothing,S001,North,2022-06,retail_store_inventory,65.4,68.23,5.0,356,531,181.5,4,SUP-CAT1-0468
21,P0001,Clothing,S001,North,2022-07,retail_store_inventory,62.81,62.94,17.5,300,292,250.0,2,SUP-CAT1-0817
22,P0001,Clothing,S001,North,2022-09,retail_store_inventory,40.45,37.52,5.0,385,205,266.5,2,SUP-CAT1-0304
23,P0001,Clothing,S001,North,2023-01,retail_store_inventory,70.97,70.1,7.5,256,106,245.0,2,SUP-CAT1-0342
24,P0001,Clothing,S001,North,2023-05,retail_store_inventory,34.26,38.71,15.0,503,182,339.5,2,SUP-CAT1-0279
25,P0001,Clothing,S001,North,2023-06,retail_store_inventory,45.22,46.18,5.0,742,311,405.0,2,SUP-CAT1-0720
26,P0001,Clothing,S001,North,2023-07,retail_store_inventory,90.91,89.23,10.0,26,197,214.0,1,SUP-CAT1-0255
27,P0001,Clothing,S001,North,2023-08,retail_store_inventory,29.71,27.37,11.25,464,624,269.25,4,SUP-CAT1-0991
28,P0001,Clothing,S001,North,2023-12,retail_store_inventory,74.85,76.67,15.0,65,118,184.0,1,SUP-CAT1-0446
29,P0001,Clothing,S001,South,2022-01,retail_store_inventory,36.29,35.3,10.0,439,296,315.0,2,SUP-CAT1-0479
30,P0001,Clothing,S001,South,2022-02,retail_store_inventory,58.64,60.18,12.5,308,288,328.0,2,SUP-CAT1-0505
31,P0001,Clothing,S001,South,2022-03,retail_store_inventory,35.25,35.64,11.67,396,344,361.67,3,SUP-CAT1-0583
32,P0001,Clothing,S001,South,2022-05,retail_store_inventory,30.86,35.02,5.0,6,120,103.0,1,SUP-CAT1-0554
33,P0001,Clothing,S001,South,2022-06,retail_store_inventory,37.8,35.55,15.0,315,132,469.0,1,SUP-CAT1-0510
34,P0001,Clothing,S001,South,2022-07,retail_store_inventory,44.84,42.64,7.5,229,286,350.5,2,SUP-CAT1-0996
35,P0001,Clothing,S001,South,2022-09,retail_store_inventory,53.92,52.19,8.33,283,258,341.0,3,SUP-CAT1-0808
36,P0001,Clothing,S001,South,2022-10,retail_store_inventory,70.35,73.83,8.33,254,399,192.0,3,SUP-CAT1-0793
37,P0001,Clothing,S001,South,2022-11,retail_store_inventory,30.65,27.54,10.0,345,211,185.0,2,SUP-CAT1-0701
38,P0001,Clothing,S001,South,2022-12,retail_store_inventory,91.97,93.47,20.0,279,165,304.0,1,SUP-CAT1-0623
39,P0001,Clothing,S001,South,2023-01,retail_store_inventory,40.2,41.47,8.75,340,425,285.5,4,SUP-CAT1-0342
40,P0001,Clothing,S001,South,2023-03,retail_store_inventory,18.54,16.58,15.0,54,37,104.0,1,SUP-CAT1-0989
41,P0001,Clothing,S001,South,2023-04,retail_store_inventory,37.61,37.84,12.5,132,204,186.0,2,SUP-CAT1-0467
42,P0001,Clothing,S001,South,2023-05,retail_store_inventory,92.97,88.09,10.0,261,110,390.0,1,SUP-CAT1-0216
43,P0001,Clothing,S001,South,2023-07,retail_store_inventory,59.12,56.15,20.0,141,66,451.0,1,SUP-CAT1-0846
